,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,visionScore,timeCCingOthers,turretKills,inhibitorKills,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,champion,spell1,spell2,gameDuration,tier,division,kda,totalDamageDealt_per_min,magicDamageDealt_per_min,physicalDamageDealt_per_min,trueDamageDealt_per_min,totalDamageDealtToChampions_per_min,magicDamageDealtToChampions_per_min,physicalDamageDealtToChampions_per_min,totalHeal_per_min,totalUnitsHealed_per_min,damageSelfMitigated_per_min,damageDealtToObjectives_per_min,damageDealtToTurrets_per_min,totalDamageTaken_per_min,magicalDamageTaken_per_min,physicalDamageTaken_per_min,goldEarned_per_min,goldSpent_per_min,totalMinionsKilled_per_min,neutralMinionsKilled_per_min,neutralMinionsKilledTeamJungle_per_min,neutralMinionsKilledEnemyJungle_per_min,lane
todunu,False,9,7,25,5,3,1,1,0,0,46,30,0,1,336,18,6,9,15,False,False,False,False,True,False,8200,8300.0,5008,5008,5003,61,12,4,2630,DIAMOND,III,4.86,3979.37,3623.89,333.63,21.83,724.68,678.39,28.24,85.67,0.02,516.57,238.06,70.04,677.43,313.3,354.59,375.31,345.63,4.4,0.73,0.55,0.11,MIDDLE
Drexxster,False,10,8,13,4,2,1,0,0,0,48,30,3,1,145,18,3,11,8,False,False,False,False,False,False,8000,8400.0,5005,5008,5002,58,4,14,2630,DIAMOND,III,2.88,3565.94,91.8,3095.66,378.48,521.68,58.77,433.8,236.4,0.02,894.11,219.76,145.83,1044.71,527.27,405.83,382.59,364.45,3.65,0.37,0.18,0.0,MIDDLE
cxnar,False,7,13,30,2,1,0,0,0,0,52,62,2,1,631,18,5,6,6,True,False,True,False,False,False,8200,8300.0,5005,5008,5002,20,11,4,2630,DIAMOND,III,2.85,4718.3,2345.84,709.19,1663.25,433.51,342.8,44.92,766.72,0.02,2274.87,641.54,29.11,1826.17,797.68,977.34,370.02,438.59,1.12,3.58,1.48,0.94,JUNGLE
Sulli Nya,False,24,14,14,7,2,4,0,0,0,55,46,2,2,671,18,1,8,10,False,False,False,False,False,True,8100,8000.0,5005,5008,5002,429,4,7,2630,DIAMOND,III,2.71,6577.21,99.6,6230.62,246.96,1065.51,83.45,930.73,247.39,0.09,833.7,693.49,188.6,1013.91,504.14,483.26,530.1,500.19,5.93,1.19,0.82,0.11,ADC
Koyukii,False,3,8,6,0,1,0,0,0,0,11,6,0,0,85,13,0,7,0,False,False,False,False,False,False,8100,8000.0,5008,5008,5001,238,14,4,1739,DIAMOND,III,1.12,2055.18,97.5,1842.75,114.93,373.15,8.28,339.78,8.52,0.03,290.65,17.53,0.0,565.39,98.4,452.47,300.83,296.72,3.45,0.0,0.0,0.0,MIDDLE
taliban tubbies,False,3,14,7,2,1,0,0,0,0,16,24,0,0,472,15,1,8,0,False,False,False,False,False,False,8000,8300.0,5005,5008,5002,2,12,4,1739,DIAMOND,III,0.71,4106.01,34.5,3304.83,766.65,875.47,17.73,630.16,292.44,0.03,1238.4,27.22,27.22,1358.85,151.33,1179.99,344.96,337.26,4.9,0.14,0.14,0.0,JUNGLE
anusobliteraters,False,9,14,7,2,1,0,0,0,0,9,21,0,0,95,13,0,7,1,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,157,4,14,1739,DIAMOND,III,1.14,3335.33,250.01,2733.78,351.51,611.63,42.4,471.31,165.3,0.03,594.41,50.86,28.57,911.01,114.24,765.37,373.04,340.71,3.97,0.14,0.14,0.0,ADC
cvncjxlgn,False,13,7,6,6,2,1,0,0,0,4,47,0,0,376,15,0,0,0,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,141,11,4,1739,DIAMOND,III,2.71,4901.68,202.08,4515.39,184.17,1020.97,0.0,976.77,852.87,0.03,1475.95,233.2,0.0,1632.73,259.53,1175.71,472.65,471.31,1.9,3.07,2.55,0.0,JUNGLE
gecpilled,False,5,14,18,3,1,0,0,0,0,47,69,1,0,199,13,3,24,1,False,False,False,False,False,False,8400,8300.0,5007,5002,5001,53,14,4,1739,DIAMOND,III,1.64,1610.3,1129.34,295.17,185.73,705.16,515.74,138.36,52.41,0.14,718.48,78.46,58.21,1102.25,271.19,800.43,308.66,283.78,1.28,0.0,0.0,0.0,SUPPORT
yisu,True,19,6,8,4,3,2,1,0,0,7,36,6,1,146,17,0,3,1,False,False,True,False,True,False,8000,8200.0,5007,5008,5002,92,12,4,1739,DIAMOND,III,4.5,6772.79,18.39,6257.91,496.46,1338.22,18.39,1258.59,590.24,0.03,1314.27,692.71,344.96,1391.01,86.57,1188.58,589.48,524.44,6.69,0.66,0.0,0.45,TOP
