,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,visionScore,timeCCingOthers,turretKills,inhibitorKills,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,champion,spell1,spell2,gameDuration,tier,division,kda,totalDamageDealt_per_min,magicDamageDealt_per_min,physicalDamageDealt_per_min,trueDamageDealt_per_min,totalDamageDealtToChampions_per_min,magicDamageDealtToChampions_per_min,physicalDamageDealtToChampions_per_min,totalHeal_per_min,totalUnitsHealed_per_min,damageSelfMitigated_per_min,damageDealtToObjectives_per_min,damageDealtToTurrets_per_min,totalDamageTaken_per_min,magicalDamageTaken_per_min,physicalDamageTaken_per_min,goldEarned_per_min,goldSpent_per_min,totalMinionsKilled_per_min,neutralMinionsKilled_per_min,neutralMinionsKilledTeamJungle_per_min,neutralMinionsKilledEnemyJungle_per_min,lane
jackie btw,False,1,2,1,0,1,0,0,0,0,6,7,0,0,92,6,1,4,0,False,False,False,False,False,False,8200,8300.0,5008,5008,5002,117,14,4,815,PLATINUM,I,1.0,539.63,371.26,156.44,11.93,162.4,124.27,26.13,0.0,0.0,79.44,10.53,10.53,195.31,83.85,103.95,221.3,174.85,0.29,0.0,0.0,0.0,MISSING
uwu cutie ,False,1,1,1,0,1,0,0,0,0,3,0,0,0,0,7,0,3,0,False,False,False,False,False,False,8000,8200.0,5005,5008,5002,81,4,7,815,PLATINUM,I,2.0,2124.66,74.65,1874.36,175.58,214.9,33.2,181.62,37.77,0.15,72.37,8.76,8.76,214.23,102.26,106.16,301.18,209.82,6.18,0.0,0.0,0.0,MISSING
N B,True,6,1,1,6,2,1,0,0,0,5,1,1,0,33,9,0,4,0,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,4,7,815,PLATINUM,I,7.0,3738.7,243.46,3306.63,188.47,379.73,133.62,224.98,85.33,0.15,110.13,339.09,339.09,249.79,87.31,155.85,519.75,309.2,8.83,0.0,0.0,0.0,MISSING
xXTenno,True,0,1,2,0,0,0,0,0,0,8,2,0,0,132,9,0,3,1,False,False,False,False,False,False,8000,8100.0,5008,5008,5001,141,4,11,815,PLATINUM,I,2.0,5482.67,340.34,4427.34,714.92,126.7,0.0,115.36,504.22,0.07,392.61,830.5,48.52,824.47,99.75,707.04,361.77,279.75,1.62,6.18,3.9,1.18,MISSING
Blind Sonic,True,5,1,0,4,2,1,0,0,0,1,3,2,0,50,11,1,1,0,True,False,True,False,False,False,8000,8100.0,5008,5008,5002,114,12,4,815,PLATINUM,I,5.0,3479.63,109.47,3325.55,44.61,474.33,44.69,384.96,185.52,0.07,332.1,555.17,555.17,430.01,0.0,413.82,526.6,442.31,7.73,0.0,0.0,0.0,MISSING
Zegs,True,1,1,4,0,1,0,0,0,0,15,13,1,0,93,8,3,6,2,False,False,False,False,False,False,8400,8300.0,5005,5002,5002,57,14,4,815,PLATINUM,I,5.0,1312.93,572.1,334.09,406.67,220.56,164.02,41.52,77.08,0.22,188.1,116.76,116.76,303.17,86.8,209.3,309.5,204.29,1.84,0.0,0.0,0.0,MISSING
EIizabeth Harmon,True,2,0,2,2,1,0,0,0,0,9,13,1,0,496,11,2,6,0,False,False,False,False,False,False,8100,8200.0,5005,5008,5003,34,4,12,815,PLATINUM,I,4.0,4904.39,3638.13,841.25,424.93,477.2,378.63,77.74,22.23,0.07,63.02,298.31,298.31,174.26,34.9,129.5,470.13,265.03,9.28,0.0,0.0,0.0,MISSING
Julien1,True,1,1,5,0,1,0,0,0,0,7,9,1,0,191,8,1,4,0,False,False,False,True,False,True,8000,8100.0,5008,5008,5003,69,4,1,661,PLATINUM,I,6.0,3088.77,2327.66,619.52,141.6,393.49,343.12,45.75,91.13,0.09,106.02,306.81,306.81,320.06,126.72,163.57,419.73,260.97,7.53,0.0,0.0,0.0,MISSING
Apollo Price,True,0,0,2,0,0,0,0,0,0,3,0,2,0,0,7,0,2,1,False,False,False,True,False,True,8000,8200.0,5005,5008,5002,498,4,7,661,PLATINUM,I,2.0,2317.76,0.0,2183.42,134.34,213.86,0.0,213.86,18.52,0.18,81.42,308.71,308.71,194.43,54.64,139.79,317.7,223.3,5.9,0.0,0.0,0.0,MISSING
Lutano,True,0,1,5,0,0,0,0,0,0,3,2,1,1,6,6,1,2,1,False,False,True,False,True,False,8400,8000.0,5008,5008,5002,497,14,4,661,PLATINUM,I,5.0,590.56,306.17,284.3,0.0,95.4,46.38,49.02,36.94,0.27,233.65,208.77,208.77,303.9,37.22,166.11,273.22,233.74,0.09,0.0,0.0,0.0,MISSING
DeadBy2023,True,5,1,4,3,2,2,0,0,0,8,9,1,0,215,7,1,4,0,True,False,False,True,False,True,8000,8300.0,5005,5008,5002,64,11,4,661,PLATINUM,I,9.0,5001.88,914.43,3524.84,562.42,376.61,55.55,307.08,258.25,0.09,422.27,1398.25,111.1,584.48,136.25,445.33,479.55,363.09,0.36,4.99,2.9,0.09,MISSING
PIX Top,True,4,0,1,4,2,1,0,0,0,3,13,0,0,201,8,0,2,0,False,False,False,True,False,True,8300,8400.0,5007,5008,5002,516,4,12,661,PLATINUM,I,5.0,3045.39,1451.8,1550.38,43.21,418.0,230.65,184.27,0.0,0.0,374.43,185.08,185.08,447.69,62.72,375.61,427.35,331.32,6.54,0.0,0.0,0.0,MISSING
THExODDxORANGE,False,0,5,1,0,0,0,0,0,0,6,5,0,0,25,5,27,26,1,False,False,False,False,False,False,8000,8200.0,5008,5008,5002,60,4,11,661,PLATINUM,I,0.2,1647.14,784.81,660.91,201.33,153.77,111.47,37.76,164.21,0.09,201.33,0.0,0.0,587.29,158.21,415.82,226.02,314.07,0.36,2.72,1.82,0.54,MISSING
Breezyyy,False,0,1,0,0,0,0,0,0,0,3,14,0,0,66,5,19,20,0,False,False,False,False,False,False,8400,8300.0,5005,5003,5002,111,14,4,661,PLATINUM,I,0.0,555.79,138.88,249.26,167.56,124.72,62.36,54.19,0.0,0.0,233.01,0.0,0.0,244.81,37.49,206.6,185.9,256.43,1.09,0.0,0.0,0.0,MISSING
Altec666,False,1,0,0,0,1,0,0,0,0,4,0,0,0,0,5,28,31,0,False,False,False,False,False,False,8000,8200.0,5005,5008,5002,236,7,4,661,PLATINUM,I,1.0,1143.18,61.36,1081.72,0.0,189.17,20.51,168.65,47.2,0.18,101.39,24.24,24.24,272.13,55.19,216.94,275.95,399.39,4.54,0.0,0.0,0.0,MISSING
General Sniperr,False,0,2,2,0,0,0,0,0,0,0,5,0,0,19,7,4,3,0,False,False,False,False,False,False,8000,8300.0,5007,5008,5002,92,4,12,661,PLATINUM,I,1.0,1102.6,0.0,1102.6,0.0,165.3,0.0,165.3,9.89,0.09,246.54,0.0,0.0,403.39,218.4,179.09,266.78,258.7,4.54,0.0,0.0,0.0,MISSING
D0XA,False,2,2,0,2,2,1,0,0,0,2,7,0,0,32,6,1,3,0,False,False,False,False,False,False,8000,8100.0,5008,5008,5003,4,4,14,661,PLATINUM,I,1.0,1315.46,966.35,310.08,39.03,270.68,176.55,55.1,38.31,0.09,148.77,0.0,0.0,327.5,231.29,94.31,304.08,247.35,3.63,0.0,0.0,0.0,MISSING
Neał,True,17,6,8,5,3,3,1,0,0,16,22,1,1,214,13,0,6,5,True,False,False,False,True,False,8000,8200.0,5005,5008,5002,119,7,4,1409,PLATINUM,I,4.17,5567.18,9.54,5448.33,109.27,1127.99,9.54,1082.04,69.28,0.13,373.41,402.54,130.39,770.12,232.38,520.62,632.66,530.16,5.79,0.98,0.51,0.3,MIDDLE
ImaEatYoBabies,True,3,0,6,3,1,0,0,0,0,13,24,2,0,63,15,0,7,0,False,False,False,False,False,True,8000,8400.0,5008,5008,5003,86,14,4,1409,PLATINUM,I,9.0,4383.88,27.21,4174.54,182.09,463.86,3.15,339.3,103.31,0.04,796.48,813.98,332.92,735.54,353.66,381.89,410.72,350.59,6.77,0.34,0.0,0.17,TOP
Arc Lord Rolya,True,7,4,10,3,1,0,0,0,0,18,29,2,0,152,13,2,8,1,False,False,False,False,False,False,8000,8300.0,5008,5008,5002,80,14,4,1409,PLATINUM,I,4.25,2920.16,109.82,2770.09,40.16,623.97,32.83,555.33,197.5,0.04,482.9,74.82,74.82,774.8,302.98,445.68,434.48,353.44,4.77,0.34,0.0,0.34,MIDDLE
WIN PLZZZ,True,3,6,12,0,1,0,0,0,0,30,40,0,0,187,11,5,12,3,False,False,False,False,False,False,8400,8300.0,5007,5002,5001,111,4,14,1409,PLATINUM,I,2.5,853.84,310.86,302.47,240.47,224.07,157.56,53.57,22.44,0.04,840.0,107.91,5.11,538.08,195.67,318.82,317.42,314.9,1.02,0.0,0.0,0.0,BOTTOM
SoundsLikeAPlan,True,3,5,12,2,1,0,0,0,0,22,16,3,0,208,12,1,2,5,False,False,False,False,False,True,8000,8100.0,5005,5008,5002,59,4,11,1409,PLATINUM,I,3.0,3593.91,894.25,2443.95,255.71,368.13,65.11,277.39,307.07,0.04,559.38,927.42,95.3,788.81,224.16,563.12,365.2,337.47,1.06,3.58,2.04,0.17,JUNGLE
CLPTRA7777,False,4,7,7,0,1,0,0,0,0,15,20,0,0,393,12,5,6,1,False,False,False,False,False,False,8200,8000.0,5005,5008,5002,104,4,11,1409,PLATINUM,I,1.57,4904.29,355.91,4142.09,406.25,346.29,24.87,299.96,271.43,0.04,616.44,461.94,0.0,901.92,179.53,668.39,335.81,308.73,1.06,4.05,3.11,0.34,JUNGLE
Nykah,False,0,8,19,0,0,0,0,0,0,28,33,0,0,157,10,2,17,1,False,False,False,False,False,False,8200,8100.0,5008,5008,5002,40,14,4,1409,PLATINUM,I,2.38,823.05,737.97,57.15,27.93,338.84,282.67,28.23,244.34,0.21,267.76,19.89,10.65,571.6,53.19,492.14,264.53,264.02,0.6,0.0,0.0,0.0,SUPPORT
Takumochi,False,6,5,7,2,1,0,0,0,0,7,44,0,0,278,12,2,5,0,False,False,False,False,False,False,8200,8000.0,5008,5002,5002,99,3,4,1409,PLATINUM,I,2.6,3141.59,2797.09,344.5,0.0,569.17,526.59,42.54,0.04,0.04,385.25,34.45,6.17,384.49,62.9,309.5,372.05,340.67,5.02,0.0,0.0,0.0,MIDDLE
Jemmy,False,11,6,8,3,2,3,0,0,0,10,13,0,0,191,12,0,6,2,False,False,False,False,False,False,8000,8200.0,5005,5008,5002,21,7,4,1409,PLATINUM,I,3.17,3204.66,88.36,3042.8,73.5,705.86,36.2,650.67,85.85,0.13,337.64,1.41,0.0,644.54,49.82,554.14,476.98,481.19,5.32,0.0,0.0,0.0,ADC
lolplayersrfahgs,False,0,7,3,0,0,0,0,0,0,7,7,0,0,109,12,0,5,0,False,False,False,False,False,False,8000,8100.0,5008,5008,5002,82,12,4,1409,PLATINUM,I,0.43,3611.37,2679.3,684.87,247.2,454.32,374.99,79.29,166.33,0.04,628.57,93.3,3.96,876.2,28.74,748.19,268.11,246.98,6.05,0.0,0.0,0.0,TOP
Enceladµs,True,4,4,17,3,1,0,0,0,0,96,51,1,0,150,15,10,39,16,False,False,False,True,False,True,8300,8400.0,5005,5008,5001,235,21,4,2394,PLATINUM,II,5.25,1385.19,0.0,1312.61,72.56,469.62,0.0,468.5,352.71,0.13,294.34,291.98,87.69,462.53,191.63,223.98,302.06,304.51,0.5,0.15,0.05,0.0,SUPPORT
RanchStyleBean,True,7,3,10,6,2,2,0,0,0,47,7,3,4,154,17,4,15,9,False,False,True,False,False,True,8000,8300.0,5005,5008,5002,81,7,4,2394,PLATINUM,II,5.67,6430.98,631.63,5474.99,324.31,807.62,297.87,473.91,191.4,0.1,549.35,470.8,187.37,674.46,280.48,364.21,433.31,418.75,6.04,1.1,0.6,0.3,ADC
illtakeMid,True,8,8,6,3,2,1,0,0,0,38,9,2,1,58,18,3,17,2,False,False,False,False,False,True,8100,8200.0,5008,5008,5003,131,14,4,2394,PLATINUM,II,1.75,6533.48,5846.89,652.61,33.96,672.16,592.86,45.34,121.45,0.03,984.16,412.68,156.59,772.08,431.05,305.76,403.21,371.55,6.34,0.3,0.1,0.1,MIDDLE
82ndrigger,True,8,5,7,4,2,1,0,0,0,35,2,2,0,221,18,0,4,11,False,False,False,False,False,True,8100,8300.0,5005,5008,5002,76,4,11,2394,PLATINUM,II,3.0,6808.72,5664.81,721.88,422.01,660.85,606.74,33.61,600.8,0.1,677.87,924.56,90.75,1012.16,419.8,568.3,409.17,367.17,1.0,5.76,3.23,1.25,JUNGLE
Cashtro,True,3,8,2,2,1,0,0,0,0,42,13,2,2,249,17,13,25,2,True,False,False,False,False,False,8000,8400.0,5008,5008,5002,6,4,12,2394,PLATINUM,II,0.62,5112.51,10.43,4618.85,483.23,322.33,3.08,311.58,132.23,0.03,1163.28,360.35,126.67,769.82,379.5,331.45,340.45,333.46,5.31,0.3,0.1,0.1,JUNGLE
TheBearIsBaked,False,8,5,8,4,2,1,0,0,0,23,35,2,0,544,18,0,12,2,False,False,False,False,False,False,8000,8300.0,5007,5008,5002,106,14,4,2394,PLATINUM,II,3.2,5361.5,2531.93,2693.41,136.12,680.6,212.33,431.68,303.03,0.03,1932.06,231.6,167.27,1105.34,279.3,804.39,397.39,353.38,6.64,0.08,0.08,0.0,TOP
influxx,False,4,6,9,2,1,0,0,0,0,45,28,0,0,219,18,3,3,11,False,False,False,False,False,False,8200,8100.0,5005,5008,5002,120,6,11,2394,PLATINUM,II,2.17,6555.29,1635.01,4675.46,244.81,301.38,58.9,209.07,533.36,0.03,765.59,594.54,0.0,1056.94,388.62,615.04,327.67,303.46,2.13,4.01,3.13,0.1,JUNGLE
12 12 xx,False,1,5,22,0,1,0,0,0,0,66,30,0,0,285,16,17,45,8,False,False,False,False,False,False,8200,8400.0,5008,5008,5002,117,4,14,2394,PLATINUM,II,4.6,518.02,346.99,105.26,65.76,128.27,97.47,8.12,51.43,0.08,271.7,19.32,3.26,393.58,199.97,186.07,226.89,198.75,0.83,0.0,0.0,0.0,SUPPORT
VitalsLikaBee,False,4,4,9,0,1,0,0,0,0,24,73,0,0,1098,18,0,14,2,False,False,False,False,False,False,8200,8300.0,5008,5008,5003,90,12,4,2394,PLATINUM,II,3.25,8441.05,8218.07,216.07,6.92,752.78,736.72,9.12,64.21,0.03,639.57,58.07,5.81,665.34,366.72,277.97,410.03,355.89,8.35,0.3,0.13,0.0,MIDDLE
TinyDolphin,False,11,10,12,7,2,2,0,0,0,18,18,1,0,361,18,0,11,2,False,False,False,False,False,False,8000,8200.0,5005,5008,5003,96,4,7,2394,PLATINUM,II,2.3,5793.46,2473.23,2971.4,348.8,852.63,432.26,333.61,118.17,0.05,363.06,157.97,31.33,712.36,327.09,366.34,424.34,416.04,5.86,0.53,0.53,0.0,ADC
Migz,False,5,4,9,3,1,0,0,0,0,13,40,0,0,220,17,2,11,1,True,False,False,False,False,False,8200,8300.0,5008,5008,5001,161,4,21,1855,PLATINUM,II,3.5,5451.59,4074.18,401.08,976.27,1172.51,902.33,47.09,3.14,0.03,213.83,41.5,34.9,435.69,207.17,206.13,355.92,360.97,5.98,0.0,0.0,0.0,MIDDLE
Rygah,False,8,10,4,3,2,1,0,0,0,10,26,0,0,224,15,2,9,0,False,False,False,False,False,False,8400,8300.0,5008,5008,5002,164,12,14,1855,PLATINUM,II,1.2,3056.47,41.47,2617.68,397.29,731.64,41.47,519.07,184.04,0.03,1063.76,122.52,22.29,1148.05,258.11,802.35,393.61,361.71,5.08,0.0,0.0,0.0,TOP
Exenpai,False,4,12,16,2,1,0,0,0,0,69,36,0,0,112,13,8,26,12,False,False,False,False,False,False,8000,8100.0,5008,5008,5002,80,3,4,1855,PLATINUM,II,1.67,1626.05,20.6,1414.16,191.22,692.99,14.36,653.79,112.69,0.03,561.54,164.83,29.11,955.73,353.85,554.39,321.74,315.36,1.71,0.0,0.0,0.0,SUPPORT
AquaAbyss,False,10,9,17,3,2,2,0,0,0,10,27,1,0,142,16,0,7,1,False,False,False,False,False,False,8100,8000.0,5008,5008,5002,202,14,4,1855,PLATINUM,II,3.0,6023.71,242.98,5718.82,61.91,978.34,31.57,909.74,256.2,0.03,442.67,419.55,196.88,788.28,188.73,549.83,486.53,486.79,6.92,0.45,0.32,0.0,ADC
noahtalk,False,2,8,10,0,1,0,0,0,0,12,26,1,0,295,13,3,3,4,False,False,False,False,False,False,8400,8000.0,5005,5002,5001,113,4,11,1855,PLATINUM,II,1.5,3158.62,1298.33,1624.33,235.92,318.89,168.16,150.31,311.32,0.16,1249.16,418.84,17.05,1202.1,286.96,798.27,270.47,259.57,0.55,2.65,2.04,0.0,JUNGLE
Kanagi,True,5,7,4,3,3,1,1,0,0,29,16,1,0,169,14,2,9,3,False,False,False,False,False,False,8100,8200.0,5008,5008,5003,245,4,14,1855,PLATINUM,II,1.29,2897.18,2342.85,487.67,66.66,531.59,474.57,50.01,116.35,0.03,369.87,109.62,94.16,748.46,245.98,460.88,314.01,297.57,4.3,0.0,0.0,0.0,MIDDLE
Allen Hy,True,4,6,24,2,1,0,0,0,0,67,42,2,0,147,15,0,27,9,False,False,False,False,False,True,8400,8300.0,5007,5002,5001,53,14,4,1855,PLATINUM,II,4.67,721.58,402.92,183.07,135.53,342.15,259.44,69.67,114.63,0.1,543.72,61.46,51.23,897.9,236.35,574.06,325.1,284.64,0.81,0.0,0.0,0.0,SUPPORT
yGcValerie,True,4,6,15,4,1,0,0,0,0,19,29,2,2,31,15,1,9,2,False,False,True,False,False,False,8000,8400.0,5008,5008,5002,58,14,4,1855,PLATINUM,II,3.17,3756.19,226.58,3507.36,22.19,733.58,121.0,590.36,488.89,0.03,1039.34,219.17,207.4,1361.4,312.81,838.29,406.8,398.65,5.82,0.0,0.0,0.0,TOP
onlygreen2333,True,6,4,14,5,1,0,0,0,0,28,15,2,0,342,15,5,6,6,False,False,False,False,False,True,8000,8100.0,5005,5008,5003,59,11,4,1855,PLATINUM,II,5.0,4432.5,516.91,3276.81,638.75,326.17,26.13,276.78,364.2,0.03,754.22,1039.92,69.06,1039.12,216.81,804.13,379.73,354.18,0.45,4.59,1.94,1.49,JUNGLE
  wArm  Ju1ceeee,True,24,6,10,10,3,6,1,0,0,18,12,3,1,183,17,0,5,3,False,False,False,False,False,True,8100,8000.0,5005,5008,5002,145,7,4,1855,PLATINUM,II,5.67,8509.55,667.89,7122.18,719.45,1678.61,329.73,1090.38,434.39,0.13,467.13,428.25,261.02,884.73,214.25,566.72,647.29,602.59,7.83,1.29,1.04,0.13,ADC
djfox5588,False,6,8,12,5,1,0,0,0,0,49,28,1,0,297,17,4,15,9,False,False,True,False,False,False,8000,8200.0,5005,5008,5002,523,4,7,2418,PLATINUM,II,2.25,5593.35,103.57,5064.96,424.79,625.31,16.3,572.68,64.04,0.07,334.91,307.17,50.12,479.38,261.12,210.94,377.17,374.69,5.16,1.02,0.55,0.0,BOTTOM
Pideaux,False,5,12,13,2,1,0,0,0,0,22,22,0,1,60,16,0,11,2,False,False,False,False,True,False,8100,8400.0,5008,5008,5001,58,4,12,2418,PLATINUM,II,1.5,4137.77,677.27,3452.43,8.04,561.71,135.68,417.94,279.58,0.02,1175.93,101.19,25.21,1335.53,549.95,761.61,325.16,318.86,3.82,1.22,1.17,0.0,TOP
Reservation,False,18,11,16,8,2,1,0,0,0,4,48,1,0,317,18,0,1,2,False,False,False,False,False,True,8100,8200.0,5008,5008,5003,134,14,4,2418,PLATINUM,II,3.09,5533.7,5126.2,355.38,52.06,1330.92,1229.95,61.04,163.52,0.02,410.45,128.73,49.35,852.75,475.56,337.84,440.0,429.28,5.11,0.52,0.42,0.1,MIDDLE
Dr Unseen,False,21,6,17,6,3,4,1,0,0,38,64,2,0,421,18,2,13,9,False,False,False,False,False,True,8000,8200.0,5005,5008,5002,19,11,4,2418,PLATINUM,II,6.33,6605.09,2681.91,3569.45,353.72,1211.12,518.11,602.18,917.72,0.02,2068.34,1013.15,66.67,1821.66,654.54,1086.5,529.11,493.37,1.59,3.9,1.91,1.17,JUNGLE
Jaewook Jung,False,4,10,27,4,2,1,0,0,0,46,76,0,0,409,15,4,13,7,False,False,False,False,False,True,8200,8300.0,5007,5002,5001,50,4,14,2418,PLATINUM,II,3.1,1653.8,1445.63,168.91,39.23,718.76,606.58,72.95,334.42,0.02,472.28,108.31,56.0,1031.27,482.78,525.01,298.71,275.43,0.69,0.3,0.2,0.0,MIDDLE
KDA Excalibur,True,10,10,12,3,2,2,0,0,0,27,48,3,0,394,18,0,14,2,False,False,False,False,False,False,8000,8200.0,5005,5008,5002,110,7,4,2418,PLATINUM,II,2.2,6422.93,1014.32,5113.52,295.06,1394.17,404.24,959.7,132.7,0.1,527.94,575.16,109.21,776.4,423.8,329.16,418.36,371.59,5.78,0.89,0.62,0.0,ADC
JokerStatus,True,16,17,7,3,2,1,0,0,0,28,5,0,0,34,18,7,15,0,False,False,False,False,False,False,8000,8100.0,5008,5008,5003,55,4,14,2418,PLATINUM,II,1.35,4543.23,3966.5,538.54,38.19,1099.85,988.81,72.85,370.94,0.02,696.77,153.47,31.96,1274.57,736.18,493.2,431.59,450.37,4.34,0.3,0.3,0.0,MIDDLE
DragonLord604,True,2,8,22,0,1,0,0,0,0,102,42,0,0,245,17,16,55,6,False,False,False,False,False,False,8400,8300.0,5005,5003,5002,223,4,3,2418,PLATINUM,II,3.0,1482.41,943.77,265.31,273.3,466.43,372.41,94.0,391.12,0.12,1785.56,142.88,38.26,1078.19,543.42,434.12,271.36,240.69,1.02,0.0,0.0,0.0,SUPPORT
Hanzoma,True,3,9,23,2,1,0,0,0,0,21,75,1,0,290,17,0,12,0,False,False,False,False,False,False,8200,8300.0,5007,5008,5001,427,11,4,2418,PLATINUM,II,2.89,11795.46,520.69,314.64,10960.1,442.51,212.01,124.24,387.32,0.2,657.89,225.24,31.22,656.77,267.89,381.12,288.81,254.34,0.42,3.35,2.75,0.0,JUNGLE
Ú è,True,16,10,12,7,2,1,0,0,0,22,26,3,1,92,18,0,14,0,True,False,False,False,False,False,8000,8400.0,5005,5008,5002,39,4,12,2418,PLATINUM,II,2.8,6937.1,620.69,6295.61,20.79,1232.03,320.45,911.59,348.88,0.02,1310.35,329.21,220.15,1331.19,570.12,698.88,538.44,462.36,6.43,0.5,0.3,0.0,TOP
ProbablyWinter,True,8,12,15,3,3,1,1,0,0,32,11,1,1,181,17,6,16,4,False,False,False,False,True,False,8000,8400.0,5008,5008,5002,10,4,12,2130,PLATINUM,II,1.92,4590.11,3031.27,1093.21,465.61,796.62,619.46,143.92,237.83,0.14,661.21,387.49,87.49,862.85,195.04,592.79,390.65,351.69,4.48,0.56,0.34,0.0,TOP
KSJustin,True,18,9,10,5,2,3,0,0,0,47,26,1,1,282,17,3,13,5,False,False,False,False,False,False,8100,8000.0,5007,5008,5002,105,4,14,2130,PLATINUM,II,3.11,4256.93,3292.93,748.56,215.41,1233.49,1048.0,135.21,218.51,0.03,596.51,247.24,69.77,1047.32,314.85,589.44,500.65,488.03,4.25,0.85,0.45,0.39,MIDDLE
Khaimera,True,10,8,12,4,2,2,0,0,0,25,39,1,0,353,18,2,4,3,False,False,False,False,False,False,8100,8300.0,5007,5008,5002,141,4,11,2130,PLATINUM,II,2.75,7109.35,241.92,6555.24,312.17,817.32,0.56,786.37,811.61,0.03,1401.69,844.31,23.13,1635.52,415.94,887.55,466.7,426.76,1.89,4.51,2.76,0.68,JUNGLE
my team doodoo,True,8,11,19,3,1,0,0,0,0,15,15,4,1,105,17,0,7,4,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,119,7,4,2130,PLATINUM,II,2.45,5178.37,186.14,4894.62,97.58,1350.51,93.66,1247.04,341.01,0.08,722.31,684.11,219.04,1179.69,335.07,770.56,442.28,423.94,5.35,0.51,0.17,0.11,ADC
Merciful Max,True,2,9,22,0,1,0,0,0,0,70,33,0,0,271,15,7,38,6,False,False,False,False,False,False,8200,8300.0,5008,5008,5002,117,14,4,2130,PLATINUM,II,2.67,708.11,525.13,148.31,34.65,206.73,125.13,46.93,160.62,0.14,288.06,82.62,54.54,547.8,203.15,321.46,277.75,265.49,0.51,0.0,0.0,0.0,SUPPORT
Landen,False,12,13,18,6,3,2,1,0,0,25,9,3,1,343,16,1,6,9,True,False,True,False,False,False,8000,8200.0,5005,5008,5002,81,4,7,2130,PLATINUM,II,2.31,4871.41,873.69,3582.37,415.32,1175.07,370.85,746.39,201.32,0.08,564.99,986.17,136.87,1054.93,391.41,624.23,428.08,403.52,4.51,0.59,0.34,0.0,ADC
Churo,False,7,8,29,3,1,0,0,0,0,69,67,0,0,241,16,5,36,5,False,False,False,True,False,False,8400,8300.0,5008,5002,5002,53,14,4,2130,PLATINUM,II,4.5,1265.46,698.82,331.35,235.27,539.46,340.79,132.96,113.66,0.03,1514.85,82.59,47.75,1024.39,396.03,595.41,339.46,341.55,1.35,0.0,0.0,0.0,SUPPORT
waıt,False,15,5,10,4,2,2,0,0,0,35,34,1,0,253,18,5,17,1,False,False,False,True,False,False,8400,8300.0,5005,5008,5002,164,4,12,2130,PLATINUM,II,5.0,5124.54,63.32,4052.54,1008.65,980.17,63.32,653.18,513.27,0.03,1210.2,343.52,207.8,1203.21,430.31,740.03,470.9,441.07,5.24,0.59,0.37,0.0,TOP
Panipples,False,9,9,13,4,2,1,0,0,0,38,51,1,0,439,17,1,12,3,False,False,False,True,False,False,8100,8200.0,5008,5008,5003,876,12,4,2130,PLATINUM,II,2.44,5346.59,3228.06,243.41,1875.13,781.94,566.51,33.35,273.01,0.03,452.79,258.25,55.83,949.69,366.48,540.65,405.15,377.75,5.8,0.2,0.14,0.06,MIDDLE
horizon returned,False,6,11,24,2,1,0,0,0,0,51,21,0,0,226,17,4,5,11,False,False,False,True,False,False,8100,8300.0,5005,5008,5002,107,4,11,2130,PLATINUM,II,2.73,4225.41,626.31,3356.34,242.7,778.48,33.27,690.99,439.52,0.03,635.66,387.38,17.3,1209.46,375.86,822.9,374.87,357.75,1.32,3.07,2.2,0.0,JUNGLE
ChickenTits69,False,4,7,7,2,2,1,0,0,0,11,17,1,0,44,14,0,4,3,False,False,False,False,False,False,8000,8200.0,5005,5008,5002,51,4,7,2046,PLATINUM,II,1.57,3105.22,109.79,2905.1,90.32,553.14,49.41,503.72,91.38,0.06,290.23,162.7,41.32,547.42,167.54,310.91,341.35,325.51,4.66,0.23,0.0,0.0,ADC
LazyMortal,False,3,10,8,2,1,0,0,0,0,40,47,0,0,74,14,2,18,3,False,False,False,False,False,False,8400,8300.0,5007,5002,5001,89,14,4,2046,PLATINUM,II,1.1,822.64,346.22,278.24,198.15,253.31,140.56,91.82,50.65,0.15,904.87,21.29,5.22,758.53,178.09,544.08,245.34,224.34,0.91,0.0,0.0,0.0,SUPPORT
Nooderzz,False,1,8,7,0,1,0,0,0,0,17,22,0,0,428,14,0,9,0,False,False,False,True,False,False,8400,8300.0,5008,5002,5002,54,12,4,2046,PLATINUM,II,1.0,3000.65,1576.33,1050.09,374.19,349.97,257.18,92.76,95.72,0.03,1291.85,78.45,7.8,735.92,304.31,390.35,273.46,261.0,3.7,0.0,0.0,0.0,TOP
McLovin IRL V6,False,13,8,3,5,2,1,0,0,0,26,11,4,0,286,17,2,6,5,False,False,True,False,False,False,8000,8200.0,5005,5008,5002,11,4,11,2046,PLATINUM,II,2.0,7473.9,781.96,6055.13,636.77,694.81,65.13,436.33,415.1,0.03,721.35,1457.21,291.03,1256.8,253.08,949.65,484.66,453.08,1.55,5.57,3.34,1.03,JUNGLE
